PC=00000000000008f0, REG[ 1]=000000000000000f
PC=00000000000008f4, REG[ 3]=0000000000000078
PC=00000000000008f8, ---
PC=00000000000008fc, REG[ 1]=000000000000c008
PC=0000000000000900, REG[ 2]=0000000000000078
PC=0000000000000904, REG[ 3]=000000000000c080
PC=0000000000000908, ---
PC=000000000000090c, REG[ 3]=0000000000000003
PC=0000000000000910, ---
PC=0000000000000914, REG[ 1]=0000000000000003
PC=0000000000000918, REG[ 3]=000000000000c080
PC=000000000000091c, ---
PC=0000000000000920, REG[ 3]=0000000000000000
PC=0000000000000924, ---
PC=0000000000000928, REG[ 3]=0000000000000000
PC=000000000000092c, ---
PC=0000000000000930, REG[ 3]=0000000000000006
PC=0000000000000934, ---
PC=0000000000000938, REG[ 1]=0000000000000000
PC=000000000000093c, REG[ 2]=0000000000000006
PC=0000000000000940, REG[ 3]=0000000000000001
PC=0000000000000944, ---
PC=0000000000000948, REG[ 1]=0000000000000001
PC=000000000000094c, ---
PC=0000000000000950, REG[ 3]=0000000000000000
PC=0000000000000954, ---
PC=0000000000000958, REG[ 3]=0000000000000000
PC=000000000000095c, ---
PC=0000000000000960, REG[ 3]=0000000000000010
PC=0000000000000964, ---
PC=0000000000000968, REG[ 1]=0000000000000010
PC=000000000000096c, REG[ 2]=0000000000000000
PC=0000000000000970, REG[ 3]=0000000000000010
PC=0000000000000974, ---
PC=0000000000000978, REG[ 1]=0000000000000000
PC=000000000000097c, REG[ 2]=0000000000000010
PC=0000000000000980, REG[ 3]=0000000000000001
PC=0000000000000984, ---
PC=0000000000000988, REG[ 1]=0000000000000001
PC=000000000000098c, ---
PC=0000000000000990, REG[ 1]=0000000000000000
PC=0000000000000994, REG[ 3]=0000000000000000
PC=0000000000000998, ---
PC=000000000000099c, REG[ 1]=000000000000c008
PC=00000000000009a0, REG[ 3]=0000000000000010
PC=00000000000009a4, ---
PC=00000000000009a8, REG[ 1]=0000000000000010
PC=00000000000009ac, REG[ 2]=0000000000000000
PC=00000000000009b0, REG[ 3]=0000000000000000
PC=00000000000009b4, ---
PC=00000000000009b8, REG[ 1]=0000000000000000
PC=00000000000009bc, REG[ 2]=0000000000000000
PC=00000000000009c0, REG[ 3]=0000000000000000
PC=00000000000009c4, ---
PC=00000000000009c8, REG[ 1]=0000000000000000
PC=00000000000009cc, ---
PC=00000000000009d8, REG[ 1]=0000000000000000
PC=00000000000009dc, REG[ 3]=0000000000000000
PC=00000000000009e0, ---
PC=00000000000009e4, REG[ 1]=000000000000c008
PC=00000000000009e8, REG[ 2]=0000000000000000
PC=00000000000009ec, REG[ 3]=000000000000c008
PC=00000000000009f0, ---
PC=00000000000009f4, REG[ 1]=000000000000c008
PC=00000000000009f8, REG[ 3]=0000000000000003
PC=00000000000009fc, ---
PC=0000000000000a00, REG[ 3]=0000000000000001
PC=0000000000000a04, ---
PC=0000000000000a08, REG[ 1]=0000000000000000
PC=0000000000000a0c, REG[ 2]=0000000000000001
PC=0000000000000a10, REG[ 3]=0000000000000001
PC=0000000000000a14, ---
PC=0000000000000a18, REG[ 1]=0000000000000001
PC=0000000000000a1c, REG[ 3]=0000000000000000
PC=0000000000000a20, ---
PC=0000000000000a24, REG[ 1]=000000000000c008
PC=0000000000000a28, REG[ 3]=0000000000000010
PC=0000000000000a2c, ---
PC=0000000000000a30, REG[ 1]=0000000000000010
PC=0000000000000a34, REG[ 2]=0000000000000001
PC=0000000000000a38, REG[ 3]=0000000000000000
PC=0000000000000a3c, ---
PC=0000000000000a40, REG[ 1]=0000000000000000
PC=0000000000000a44, REG[ 2]=0000000000000000
PC=0000000000000a48, REG[ 3]=0000000000000000
PC=0000000000000a4c, ---
PC=0000000000000a50, REG[ 1]=0000000000000000
PC=0000000000000a54, ---
PC=0000000000000a60, REG[ 1]=0000000000000001
PC=0000000000000a64, REG[ 3]=0000000000000008
PC=0000000000000a68, ---
PC=0000000000000a6c, REG[ 1]=000000000000c008
PC=0000000000000a70, REG[ 2]=0000000000000008
PC=0000000000000a74, REG[ 3]=000000000000c010
PC=0000000000000a78, ---
PC=0000000000000a7c, REG[ 1]=000000000000c010
PC=0000000000000a80, REG[ 3]=0000000000000001
PC=0000000000000a84, ---
